@Relation programmer-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@Attribute currentDate string
@Attribute currentTime numeric
@Attribute timeFromStart numeric
@Attribute sourceDifficulty string
@Attribute insertPercentage numeric
@Attribute deletePercentage numeric
@Attribute debugPercentage numeric
@Attribute navigationPercentage numeric
@Attribute focusPercentage numeric
@Attribute webLinkTimes numeric
@Attribute stuck {YES,NO}

@data
13.54.17,1379958857949,3442728,extraInterval,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,YES
13.54.21,1379958861106,3445885,extraInterval,1.0,0.0,0.0,0.0,0.0,0.0,YES
13.54.36,1379958876543,3461322,extraInterval,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,YES
13.55.07,1379958907527,3492306,extraInterval,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,YES
13.55.42,1379958942261,3527040,extraInterval,0.7,0.0,0.0,0.0,0.0,0.0,YES
13.57.13,1379959033057,3617836,extraInterval,0.5,0.0,17.5,5.0,25.0,0.0,YES
13.57.57,1379959077306,3662085,extraInterval,0.19444444444444445,0.0,47.22222222222222,2.7777777777777777,22.22222222222222,0.0,YES
13.59.04,1379959144555,3729334,extraInterval,0.3448275862068966,0.0,27.586206896551722,0.0,20.689655172413794,0.0,YES
13.59.46,1379959186414,3771193,extraInterval,0.3333333333333333,0.0,36.36363636363637,0.0,18.181818181818183,0.0,YES
14.00.56,1379959256038,3840817,extraInterval,0.25,0.0,54.54545454545454,0.0,18.181818181818183,0.0,YES
14.03.06,1379959386005,3970784,extraInterval,0.7272727272727273,0.0,0.0,0.0,18.181818181818183,0.0,YES
14.03.26,1379959406192,3990971,extraInterval,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,YES
14.03.54,1379959434333,4019112,extraInterval,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,YES
14.04.23,1379959463426,4048205,extraInterval,0.9047619047619048,0.0,0.0,0.0,9.523809523809524,0.0,YES
14.04.59,1379959499019,4083798,extraInterval,0.5172413793103449,0.0,31.03448275862069,6.896551724137931,6.896551724137931,0.0,YES
14.05.58,1379959558816,4143595,extraInterval,0.25,0.0,55.55555555555556,5.555555555555555,13.88888888888889,0.0,YES
14.07.23,1379959643955,4228734,extraInterval,0.2619047619047619,0.0,47.61904761904761,4.761904761904762,16.666666666666664,1.0,YES
14.14.15,1379960055325,4640104,extraInterval,0.45161290322580644,0.0,0.0,0.0,45.16129032258064,0.0,YES
14.15.00,1379960100590,4685369,extraInterval,0.8125,0.0,0.0,0.0,12.5,0.0,YES
14.15.20,1379960120996,4705775,extraInterval,0.875,0.0,0.0,0.0,0.0,0.0,YES
14.16.17,1379960177933,4762712,extraInterval,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,YES
14.16.31,1379960191151,4775930,extraInterval,0.875,0.0,0.0,0.0,0.0,0.0,YES
14.16.41,1379960201276,4786055,extraInterval,1.0,0.0,0.0,0.0,0.0,0.0,YES
14.17.06,1379960226119,4810898,extraInterval,0.5,0.0,0.0,0.0,14.285714285714285,0.0,YES
14.18.02,1379960282994,4867773,extraInterval,0.5,0.0,0.0,0.0,50.0,0.0,YES
14.20.37,1379960437945,5022724,extraInterval,0.3225806451612903,0.0,29.03225806451613,0.0,25.806451612903224,0.0,YES
14.23.05,1379960585509,5170288,extraInterval,0.8636363636363636,0.0,0.0,9.090909090909092,0.0,0.0,YES
14.25.37,1379960737948,5322727,extraInterval,0.1794871794871795,0.0,51.28205128205128,2.564102564102564,20.51282051282051,4.0,YES
14.27.32,1379960852636,5437415,extraInterval,0.5428571428571428,0.0,20.0,2.857142857142857,22.857142857142858,3.0,YES
14.39.05,1379961545948,6130727,prediction,0.29545454545454547,0.0,20.454545454545457,0.0,45.45454545454545,0.0,NO
14.39.56,1379961596964,6181743,prediction,0.045454545454545456,0.0,86.36363636363636,0.0,4.545454545454546,0.0,NO
14.41.03,1379961663386,6248165,prediction,0.2,0.0,66.66666666666666,0.0,4.444444444444445,0.0,NO
14.41.25,1379961685073,6269852,prediction,0.0425531914893617,0.0,82.97872340425532,0.0,0.0,0.0,NO
14.42.43,1379961763105,6347884,prediction,0.0,0.0,92.0,0.0,8.0,0.0,NO
14.46.00,1379961960026,6544805,prediction,0.16666666666666666,0.0,52.38095238095239,4.761904761904762,23.809523809523807,0.0,NO
